# ENTITIES
entity_name,source_id,graph_data
power button,chunk-8cd614c63bd30923f007ff94a3e7a5d9,"{'entity_id': 'power button', 'entity_type': 'equipment', 'description': 'A hardware component on electronic devices used for turning them on or off.', 'source_id': 'chunk-8cd614c63bd30923f007ff94a3e7a5d9', 'file_path': 'unknown_source', 'created_at': 1749262945}"
press control,chunk-1e7514c9c486c31232321ac43b9689ae,"{'entity_id': 'press control', 'entity_type': 'category', 'description': 'Press control refers to the feature of adjusting volume or other settings through physical button presses.', 'source_id': 'chunk-1e7514c9c486c31232321ac43b9689ae', 'file_path': 'unknown_source', 'created_at': 1749262945}"
press control commands,chunk-1e7514c9c486c31232321ac43b9689ae,"{'entity_id': 'press control commands', 'entity_type': 'category', 'description': 'Press control commands are gestures performed on the physical buttons of earbuds or charging cases.', 'source_id': 'chunk-1e7514c9c486c31232321ac43b9689ae', 'file_path': 'unknown_source', 'created_at': 1749262945}"
problem,chunk-1e7514c9c486c31232321ac43b9689ae,"{'entity_id': 'problem', 'source_id': 'chunk-1e7514c9c486c31232321ac43b9689ae', 'description': 'The Active Noise Cancellation feature is not working as intended, requiring troubleshooting steps.""(', 'entity_type': 'UNKNOWN', 'file_path': 'unknown_source', 'created_at': 1749262945}"
procedure,chunk-b1d82ee9e80b9a4011cc5dfdad909fc2,"{'entity_id': 'procedure', 'source_id': 'chunk-b1d82ee9e80b9a4011cc5dfdad909fc2', 'description': 'Process for accessing and removing SIM cards on smartphones such as the Nothing Phone.', 'entity_type': 'UNKNOWN', 'file_path': 'unknown_source', 'created_at': 1749262945}"
process,chunk-b1d82ee9e80b9a4011cc5dfdad909fc2,"{'entity_id': 'process', 'source_id': 'chunk-b1d82ee9e80b9a4011cc5dfdad909fc2', 'description': ""Transferring of information, files or settings from one device to another, specifically mentioned between a user's current and new Nothing phone."", 'entity_type': 'UNKNOWN', 'file_path': 'unknown_source', 'created_at': 1749262945}"
quick settings,chunk-34426e6693364728fe244fbfe87a0629<SEP>chunk-8cd614c63bd30923f007ff94a3e7a5d9,"{'entity_id': 'quick settings', 'entity_type': 'category', 'description': ""A section of the system's control center accessible by swiping down from the top of the lock screen.<SEP>Quickly accessible options displayed when swiping down from the top of the screen."", 'source_id': 'chunk-34426e6693364728fe244fbfe87a0629<SEP>chunk-8cd614c63bd30923f007ff94a3e7a5d9', 'file_path': 'unknown_source', 'created_at': 1749262945}"
real-time update,chunk-128e66067604ae44825d98ba3ed45122,"{'entity_id': 'real-time update', 'source_id': 'chunk-128e66067604ae44825d98ba3ed45122', 'description': 'Provides current weather conditions and forecasts directly on the Watch Pro 2 using GPS data.', 'entity_type': 'UNKNOWN', 'file_path': 'unknown_source', 'created_at': 1749262945}"
recording capability,chunk-f9ceda8e99b5757b3aaecad74209f71d,"{'entity_id': 'recording capability', 'source_id': 'chunk-f9ceda8e99b5757b3aaecad74209f71d', 'description': 'The device supports the use of the Essential Key for initiating voice memo recordings.', 'entity_type': 'UNKNOWN', 'file_path': 'unknown_source', 'created_at': 1749262945}"
remote control,chunk-128e66067604ae44825d98ba3ed45122,"{'entity_id': 'remote control', 'source_id': 'chunk-128e66067604ae44825d98ba3ed45122', 'description': 'Facilitates hands-free operation of smartphone cameras with the Watch Pro 2 through Bluetooth connection.', 'entity_type': 'UNKNOWN', 'file_path': 'unknown_source', 'created_at': 1749262945}"
repeat between Monday to Sunday.,chunk-8cd614c63bd30923f007ff94a3e7a5d9,"{'entity_id': 'repeat between Monday to Sunday.', 'entity_type': 'category', 'description': 'A feature that allows alarms to repeat at specific days of the week.', 'source_id': 'chunk-8cd614c63bd30923f007ff94a3e7a5d9', 'file_path': 'unknown_source', 'created_at': 1749262945}"
reset,chunk-ebeef135007ca56eca4d845a2c04e9d0,"{'entity_id': 'reset', 'entity_type': 'category', 'description': 'Resetting action on Buds refers to the process of returning the device to its initial state, typically involving removing it from pairing lists or restoring default settings.', 'source_id': 'chunk-ebeef135007ca56eca4d845a2c04e9d0', 'file_path': 'unknown_source', 'created_at': 1749262937}"
response facilitation,chunk-128e66067604ae44825d98ba3ed45122,"{'entity_id': 'response facilitation', 'source_id': 'chunk-128e66067604ae44825d98ba3ed45122', 'description': 'Speeds up communication by enabling users to send pre-defined messages quickly through notifications on the Watch Pro 2.', 'entity_type': 'UNKNOWN', 'file_path': 'unknown_source', 'created_at': 1749262945}"
restarting your phone,chunk-258395120725348800696992422fd798,"{'entity_id': 'restarting your phone', 'entity_type': 'event', 'description': 'It is recommended that you manually restart your phone once a week for self-repairing purpose.', 'source_id': 'chunk-258395120725348800696992422fd798', 'file_path': 'unknown_source', 'created_at': 1749262945}"
screen lock,chunk-b1d82ee9e80b9a4011cc5dfdad909fc2,"{'entity_id': 'screen lock', 'entity_type': 'function', 'description': 'A security feature allowing users to set a pattern, PIN, or use fingerprint/Face unlock for device access.', 'source_id': 'chunk-b1d82ee9e80b9a4011cc5dfdad909fc2', 'file_path': 'unknown_source', 'created_at': 1749262945}"
screen lock password,chunk-34426e6693364728fe244fbfe87a0629,"{'entity_id': 'screen lock password', 'entity_type': 'security measure', 'description': 'A code, pattern, or biometric feature used to protect access to a device.', 'source_id': 'chunk-34426e6693364728fe244fbfe87a0629', 'file_path': 'unknown_source', 'created_at': 1749262945}"
screen recording,chunk-b1d82ee9e80b9a4011cc5dfdad909fc2,"{'entity_id': 'screen recording', 'entity_type': 'process', 'description': 'An activity that allows capturing videos of the screen, which can be useful for tutorials or documentation.', 'source_id': 'chunk-b1d82ee9e80b9a4011cc5dfdad909fc2', 'file_path': 'unknown_source', 'created_at': 1749262945}"
screen specifications of the Nothing Phone (3a),chunk-f9ceda8e99b5757b3aaecad74209f71d,"{'entity_id': 'screen specifications of the Nothing Phone (3a)', 'source_id': 'chunk-f9ceda8e99b5757b3aaecad74209f71d', 'description': 'The screen provides clarity and resolution suitable for high-quality visual experiences on smartphones.', 'entity_type': 'UNKNOWN', 'file_path': 'unknown_source', 'created_at': 1749262945}"
screen specifications of the Phone (3a),chunk-f9ceda8e99b5757b3aaecad74209f71d,"{'entity_id': 'screen specifications of the Phone (3a)', 'entity_type': 'category', 'description': 'Screen specifications like PPI, resolution and brightness are crucial for a good visual experience on mobile devices.', 'source_id': 'chunk-f9ceda8e99b5757b3aaecad74209f71d', 'file_path': 'unknown_source', 'created_at': 1749262945}"
screen-casting,chunk-ffe8e5cdde2af69f64b8ce3b5c683676,"{'entity_id': 'screen-casting', 'entity_type': 'category', 'description': 'Functionality allowing a device to mirror its display on another device, such as a TV or computer.', 'source_id': 'chunk-ffe8e5cdde2af69f64b8ce3b5c683676', 'file_path': 'unknown_source', 'created_at': 1749262945}"
screenshot with Essential Key,chunk-f9ceda8e99b5757b3aaecad74209f71d,"{'entity_id': 'screenshot with Essential Key', 'entity_type': 'category', 'description': 'The Essential Key is a programmable button allowing quick access to various functions including screenshots.', 'source_id': 'chunk-f9ceda8e99b5757b3aaecad74209f71d', 'file_path': 'unknown_source', 'created_at': 1749262945}"
search process,chunk-39d4901014b867cda8bfaf59458315b9,"{'entity_id': 'search process', 'entity_type': 'category', 'description': 'The search process involves interaction between your phone and earbuds, potentially facing issues due to Bluetooth logic on the phone side.', 'source_id': 'chunk-39d4901014b867cda8bfaf59458315b9', 'file_path': 'unknown_source', 'created_at': 1749262937}"
security,chunk-6b8eb92f55e1f3c041c691be7b6dbda7,"{'entity_id': 'security', 'source_id': 'chunk-6b8eb92f55e1f3c041c691be7b6dbda7', 'description': 'The use of fingerprint in biometric authentication enhances security measures on the phone.', 'entity_type': 'UNKNOWN', 'file_path': 'unknown_source', 'created_at': 1749262945}"
security feature in settings,chunk-34426e6693364728fe244fbfe87a0629,"{'entity_id': 'security feature in settings', 'source_id': 'chunk-34426e6693364728fe244fbfe87a0629', 'description': 'App Locker function falls under security features found within Settings', 'entity_type': 'UNKNOWN', 'file_path': 'unknown_source', 'created_at': 1749262945}"
security measure,chunk-b1d82ee9e80b9a4011cc5dfdad909fc2,"{'entity_id': 'security measure', 'source_id': 'chunk-b1d82ee9e80b9a4011cc5dfdad909fc2', 'description': 'Setting up a password or passcode to secure device access. Can include use of biometric authentication options like fingerprint or face unlock.', 'entity_type': 'UNKNOWN', 'file_path': 'unknown_source', 'created_at': 1749262945}"
service inclusion,chunk-f9ceda8e99b5757b3aaecad74209f71d,"{'entity_id': 'service inclusion', 'source_id': 'chunk-f9ceda8e99b5757b3aaecad74209f71d', 'description': 'Accessing Essential Space requires login to a Nothing account for full features utilization.', 'entity_type': 'UNKNOWN', 'file_path': 'unknown_source', 'created_at': 1749262945}"
setting,chunk-b1d82ee9e80b9a4011cc5dfdad909fc2,"{'entity_id': 'setting', 'source_id': 'chunk-b1d82ee9e80b9a4011cc5dfdad909fc2', 'description': 'Adjustment feature for visual display size on the Nothing Phone. May refer to font size change within certain applications or system settings.', 'entity_type': 'UNKNOWN', 'file_path': 'unknown_source', 'created_at': 1749262945}"
settings,chunk-34426e6693364728fe244fbfe87a0629,"{'entity_id': 'settings', 'source_id': 'chunk-34426e6693364728fe244fbfe87a0629', 'description': 'Silent After is a setting that automatically silences alarms after a specified period', 'entity_type': 'UNKNOWN', 'file_path': 'unknown_source', 'created_at': 1749262945}"
software info,chunk-34426e6693364728fe244fbfe87a0629,"{'entity_id': 'software info', 'source_id': 'chunk-34426e6693364728fe244fbfe87a0629', 'description': 'Developer options can be accessed by navigating through software info to developer mode', 'entity_type': 'UNKNOWN', 'file_path': 'unknown_source', 'created_at': 1749262945}"
solution,chunk-1e7514c9c486c31232321ac43b9689ae,"{'entity_id': 'solution', 'source_id': 'chunk-1e7514c9c486c31232321ac43b9689ae', 'description': 'Using the Nothing X app can help resolve issues with features like Active Noise Cancellation and volume adjustment.""(', 'entity_type': 'UNKNOWN', 'file_path': 'unknown_source', 'created_at': 1749262945}"
status bar,chunk-8b7b5b1eb951ce536bdbb599b623332a,"{'entity_id': 'status bar', 'entity_type': 'interface', 'description': ""The status bar is located at the top of a phone's display screen that shows different icons for time, battery percentage and quick access to various settings such as WiFi, Bluetooth, etc."", 'source_id': 'chunk-8b7b5b1eb951ce536bdbb599b623332a', 'file_path': 'unknown_source', 'created_at': 1749262945}"
stress relief tool,chunk-128e66067604ae44825d98ba3ed45122,"{'entity_id': 'stress relief tool', 'source_id': 'chunk-128e66067604ae44825d98ba3ed45122', 'description': 'Offers guided breathing exercises for stress management and relaxation using the Watch Pro 2.', 'entity_type': 'UNKNOWN', 'file_path': 'unknown_source', 'created_at': 1749262945}"
support fast charging,chunk-281d19d9c4f252fd5c844c3d467ca398,"{'entity_id': 'support fast charging', 'source_id': 'chunk-281d19d9c4f252fd5c844c3d467ca398', 'description': 'Phone (2) supports fast charging and PPS protocol based fast charging."".', 'entity_type': 'UNKNOWN', 'file_path': 'unknown_source', 'created_at': 1749262945}"
support for Nothing Phone (3a),chunk-f9ceda8e99b5757b3aaecad74209f71d,"{'entity_id': 'support for Nothing Phone (3a)', 'source_id': 'chunk-f9ceda8e99b5757b3aaecad74209f71d', 'description': 'The feature of WiFi Direct enables device-to-device communication, which could be relevant to usage scenarios on the Nothing Phone (3a).', 'entity_type': 'UNKNOWN', 'file_path': 'unknown_source', 'created_at': 1749262945}"
support for WiFi,chunk-f9ceda8e99b5757b3aaecad74209f71d,"{'entity_id': 'support for WiFi', 'source_id': 'chunk-f9ceda8e99b5757b3aaecad74209f71d', 'description': 'The Nothing Phone (3a) supports screen-casting through the use of WiFi Direct.', 'entity_type': 'UNKNOWN', 'file_path': 'unknown_source', 'created_at': 1749262945}"
support wireless charger,chunk-281d19d9c4f252fd5c844c3d467ca398,"{'entity_id': 'support wireless charger', 'source_id': 'chunk-281d19d9c4f252fd5c844c3d467ca398', 'description': 'Phone (2) supports using wireless chargers including those with Qi certification."".', 'entity_type': 'UNKNOWN', 'file_path': 'unknown_source', 'created_at': 1749262945}"
system update,chunk-258395120725348800696992422fd798,"{'entity_id': 'system update', 'entity_type': 'event', 'description': 'System updates include fixing software issues and adding new features to optimize performance for better user experience. You should find the latest updates through Settings -> System -> System Update.', 'source_id': 'chunk-258395120725348800696992422fd798', 'file_path': 'unknown_source', 'created_at': 1749262945}"
target device,chunk-8d629090523155bf0dd12f9021e8a28a,"{'entity_id': 'target device', 'entity_type': 'category', 'description': 'The destination device receiving a mirrored session from the source device during screen-casting.', 'source_id': 'chunk-8d629090523155bf0dd12f9021e8a28a', 'file_path': 'unknown_source', 'created_at': 1749262945}"
technology,chunk-93607977c7e870361284500bad913d36,"{'entity_id': 'technology', 'source_id': 'chunk-93607977c7e870361284500bad913d36', 'description': 'Signifies the role of Bluetooth technology in facilitating wireless connectivity between the Neckband Pro and other devices such as smartphones and computers.', 'entity_type': 'UNKNOWN', 'file_path': 'unknown_source', 'created_at': 1749262945}"
temperature range for optimal charging,chunk-f9ceda8e99b5757b3aaecad74209f71d,"{'entity_id': 'temperature range for optimal charging', 'entity_type': 'category', 'description': 'Optimal temperature range for charging ensures faster charging speeds and prevents overheating.', 'source_id': 'chunk-f9ceda8e99b5757b3aaecad74209f71d', 'file_path': 'unknown_source', 'created_at': 1749262945}"
temperature sensitivity,chunk-f9ceda8e99b5757b3aaecad74209f71d,"{'entity_id': 'temperature sensitivity', 'source_id': 'chunk-f9ceda8e99b5757b3aaecad74209f71d', 'description': 'Temperature effects on charging speed and efficiency are well understood in the tech industry.', 'entity_type': 'UNKNOWN', 'file_path': 'unknown_source', 'created_at': 1749262945}"
time management tool,chunk-128e66067604ae44825d98ba3ed45122,"{'entity_id': 'time management tool', 'source_id': 'chunk-128e66067604ae44825d98ba3ed45122', 'description': 'Offers customizable timer options for activities requiring attention to time limits on the Watch Pro 2.', 'entity_type': 'UNKNOWN', 'file_path': 'unknown_source', 'created_at': 1749262945}"
timed measurement,chunk-128e66067604ae44825d98ba3ed45122,"{'entity_id': 'timed measurement', 'source_id': 'chunk-128e66067604ae44825d98ba3ed45122', 'description': 'Allows users to measure time intervals accurately for fitness tracking or task durations on the Watch Pro 2.', 'entity_type': 'UNKNOWN', 'file_path': 'unknown_source', 'created_at': 1749262945}"
timeout feature,chunk-27081652ef7a553b2a6096008ef80269,"{'entity_id': 'timeout feature', 'entity_type': 'feature', 'description': ""Ear (stick)'s timeout feature automatically turns off the earbuds when not in use, conserving energy."", 'source_id': 'chunk-27081652ef7a553b2a6096008ef80269', 'file_path': 'unknown_source', 'created_at': 1749262945}"
user convenience,chunk-6b8eb92f55e1f3c041c691be7b6dbda7,"{'entity_id': 'user convenience', 'source_id': 'chunk-6b8eb92f55e1f3c041c691be7b6dbda7', 'description': 'Face unlock as a security feature provides users with convenience by allowing quick access to their device instead of traditional passwords or PINs.', 'entity_type': 'UNKNOWN', 'file_path': 'unknown_source', 'created_at': 1749262945}"
video,chunk-dbdc3aa884ec77acb84402d00879691d,"{'entity_id': 'video', 'entity_type': 'category', 'description': 'Video refers to visual content with moving images and usually accompanied by audio.', 'source_id': 'chunk-dbdc3aa884ec77acb84402d00879691d', 'file_path': 'unknown_source', 'created_at': 1749262945}"
video-recording indicator light,chunk-f9ceda8e99b5757b3aaecad74209f71d,"{'entity_id': 'video-recording indicator light', 'entity_type': 'category', 'description': 'This feature on smartphones allows users to visually see if they are recording video.', 'source_id': 'chunk-f9ceda8e99b5757b3aaecad74209f71d', 'file_path': 'unknown_source', 'created_at': 1749262945}"
voice assistance services,chunk-27081652ef7a553b2a6096008ef80269,"{'entity_id': 'voice assistance services', 'entity_type': 'service', 'description': 'Ear (stick) supports various voice assistant features, enhancing user interaction and convenience.', 'source_id': 'chunk-27081652ef7a553b2a6096008ef80269', 'file_path': 'unknown_source', 'created_at': 1749262945}"
voice assistant,chunk-ebeef135007ca56eca4d845a2c04e9d0,"{'entity_id': 'voice assistant', 'entity_type': 'category', 'description': 'Voice assistant is a feature that allows hands-free interaction with technology and provides various functionalities such as answering calls, activating music playback, etc.', 'source_id': 'chunk-ebeef135007ca56eca4d845a2c04e9d0', 'file_path': 'unknown_source', 'created_at': 1749262937}"
voice memos using Essential Key,chunk-f9ceda8e99b5757b3aaecad74209f71d,"{'entity_id': 'voice memos using Essential Key', 'entity_type': 'category', 'description': ""Voice memo functionality allows users to record and save audio notes using the device's buttons."", 'source_id': 'chunk-f9ceda8e99b5757b3aaecad74209f71d', 'file_path': 'unknown_source', 'created_at': 1749262945}"
volume,chunk-716596cbb2a7e8b3702d6ceb7f52724e<SEP>chunk-1e7514c9c486c31232321ac43b9689ae,"{'entity_id': 'volume', 'entity_type': 'category', 'description': 'Volume is a measurement of sound intensity and can be adjusted for optimal listening experience.<SEP>Volume refers to the loudness or intensity of audio.', 'source_id': 'chunk-716596cbb2a7e8b3702d6ceb7f52724e<SEP>chunk-1e7514c9c486c31232321ac43b9689ae', 'file_path': 'unknown_source', 'created_at': 1749262945}"
volume adjustment,chunk-6a6dc70b538423eed2a153e23decae4c,"{'entity_id': 'volume adjustment', 'source_id': 'chunk-6a6dc70b538423eed2a153e23decae4c', 'description': 'Users can adjust volume during exercise by pressing a specific button on the Watch Pro.', 'entity_type': 'UNKNOWN', 'file_path': 'unknown_source', 'created_at': 1749262945}"
volume control,chunk-6a6dc70b538423eed2a153e23decae4c,"{'entity_id': 'volume control', 'source_id': 'chunk-6a6dc70b538423eed2a153e23decae4c', 'description': 'Volume adjustment function allows for fine tuning of audio settings on the Watch Pro.', 'entity_type': 'UNKNOWN', 'file_path': 'unknown_source', 'created_at': 1749262945}"
water resistance,chunk-27081652ef7a553b2a6096008ef80269,"{'entity_id': 'water resistance', 'entity_type': 'feature', 'description': ""Ear (stick)'s water resistance is rated IPX4, indicating protection against splashes from any direction."", 'source_id': 'chunk-27081652ef7a553b2a6096008ef80269', 'file_path': 'unknown_source', 'created_at': 1749262945}"
waterproof and dustproof rating,chunk-ecb83fc961a06d6a2e205ffa27cd9700,"{'entity_id': 'waterproof and dustproof rating', 'source_id': 'chunk-ecb83fc961a06d6a2e205ffa27cd9700', 'description': 'Buds Pro earbuds have IP54 dustproof and class 4 waterproof ratings. The charging case has an IPX2 splashproof rating.', 'entity_type': 'UNKNOWN', 'file_path': 'unknown_source', 'created_at': 1749262945}"
wired chargers,chunk-f9ceda8e99b5757b3aaecad74209f71d,"{'entity_id': 'wired chargers', 'entity_type': 'category', 'description': 'Wired chargers are physical connectors used to power or charge devices like smartphones.', 'source_id': 'chunk-f9ceda8e99b5757b3aaecad74209f71d', 'file_path': 'unknown_source', 'created_at': 1749262945}"
wireless chargers,chunk-f9ceda8e99b5757b3aaecad74209f71d,"{'entity_id': 'wireless chargers', 'entity_type': 'category', 'description': 'Wireless charging involves placing a device on a charging pad without needing wires, offering convenience.', 'source_id': 'chunk-f9ceda8e99b5757b3aaecad74209f71d', 'file_path': 'unknown_source', 'created_at': 1749262945}"
wireless charging,chunk-716596cbb2a7e8b3702d6ceb7f52724e,"{'entity_id': 'wireless charging', 'entity_type': 'category', 'description': 'Wireless charging allows battery power transfer without the use of cables or wires.', 'source_id': 'chunk-716596cbb2a7e8b3702d6ceb7f52724e', 'file_path': 'unknown_source', 'created_at': 1749262945}"


# RELATIONS
src_entity,tgt_entity,source_id,graph_data
 Glyph Interface,Nothing Phone (2a) Plus,chunk-fcde7317fc7b036415d89ea81329b232,"{'weight': 9.0, 'description': 'The Glyph Interface is a feature exclusive to Nothing Phone (2a) Plus smartphones.', 'keywords': 'manufacturer inclusion,product feature', 'source_id': 'chunk-fcde7317fc7b036415d89ea81329b232', 'file_path': 'unknown_source', 'created_at': 1749262945}"
100m Sprint Record,Noah Carter,chunk-8dbcfd0ba7e5f79063be82c76153444e<SEP>chunk-aecf49d9e86fc2b3fbfb0f065b82e03e<SEP>chunk-8a9c21c16874759496064e1fb0d09cef<SEP>chunk-65f13477800edffaf85ef49b0eb80982<SEP>chunk-ea4524a05ac17de1be9923e9a9dc9c59<SEP>chunk-fcacac32b6b6cffea40cb0a17d301d61<SEP>chunk-a0028e301a1da668320afc0e2e78601b<SEP>chunk-ea3750d302ca3a5f45590d544e79cdaf<SEP>chunk-54f0e791bf9a53157a462f57f05674eb<SEP>chunk-b6a5e79a49bc7db2a612f28136aee41c<SEP>chunk-c9025d462a4f9ed5f5840d5850b11449<SEP>chunk-39d4901014b867cda8bfaf59458315b9<SEP>chunk-77d37b7781a21f9ace596c3bcb0cbfd0,"{'weight': 118.0, 'description': ""Noah Carter, an accomplished athlete, achieved a significant milestone in sprinting by setting a new 100m sprint record during the competition. Specifically, he broke this record at the World Athletics Championship held in Tokyo, showcasing exceptional athletic ability. Noah's prowess was evident as he set not only a new world record but also a new championship record for the men's 100 meters sprint event, demonstrating his outstanding performance skills and dedication to excellence in athletics."", 'keywords': '""athlete achievement,athlete achievement,athlete performance,athletic achievement,category update,competition performance,competition record,performance achievement,record achievement,record-breaking,record-breaking event,record-breaking""|> 10,record-setting,world record', 'source_id': 'chunk-8dbcfd0ba7e5f79063be82c76153444e<SEP>chunk-aecf49d9e86fc2b3fbfb0f065b82e03e<SEP>chunk-8a9c21c16874759496064e1fb0d09cef<SEP>chunk-65f13477800edffaf85ef49b0eb80982<SEP>chunk-ea4524a05ac17de1be9923e9a9dc9c59<SEP>chunk-fcacac32b6b6cffea40cb0a17d301d61<SEP>chunk-a0028e301a1da668320afc0e2e78601b<SEP>chunk-ea3750d302ca3a5f45590d544e79cdaf<SEP>chunk-54f0e791bf9a53157a462f57f05674eb<SEP>chunk-b6a5e79a49bc7db2a612f28136aee41c<SEP>chunk-c9025d462a4f9ed5f5840d5850b11449<SEP>chunk-39d4901014b867cda8bfaf59458315b9<SEP>chunk-77d37b7781a21f9ace596c3bcb0cbfd0', 'file_path': 'unknown_source', 'created_at': 1749262945}"
100m Sprint Record,World Athletics Federation,chunk-8dbcfd0ba7e5f79063be82c76153444e<SEP>chunk-8a9c21c16874759496064e1fb0d09cef<SEP>chunk-ea4524a05ac17de1be9923e9a9dc9c59<SEP>chunk-c9025d462a4f9ed5f5840d5850b11449<SEP>chunk-39d4901014b867cda8bfaf59458315b9,"{'weight': 44.0, 'description': ""The World Athletics Federation is responsible for validating and recognizing new sprint records.<SEP>The World Athletics Federation oversees record validations and recognitions for global track and field events.<SEP>The World Athletics Federation recognizes and validates new records set during its championship events.<SEP>The World Athletics Federation validates and acknowledges new records set in competitions under their jurisdiction.<SEP>The World Athletics Federation validates and acknowledges records such as Noah Carter's 100m sprint record."", 'keywords': 'official validation,record certification,record validation,sporting recognition,sports governing body,sports regulation', 'source_id': 'chunk-8dbcfd0ba7e5f79063be82c76153444e<SEP>chunk-8a9c21c16874759496064e1fb0d09cef<SEP>chunk-ea4524a05ac17de1be9923e9a9dc9c59<SEP>chunk-c9025d462a4f9ed5f5840d5850b11449<SEP>chunk-39d4901014b867cda8bfaf59458315b9', 'file_path': 'unknown_source', 'created_at': 1749262945}"
24-hour system,System Date & time,chunk-7c7e41b65ef7bcc80c8f1decc9bf2928,"{'weight': 6.0, 'description': 'The 24-hour system is a setting available within System Date & Time options for managing time display format.""|>""time-management, user-preference', 'keywords': '6', 'source_id': 'chunk-7c7e41b65ef7bcc80c8f1decc9bf2928', 'file_path': 'unknown_source', 'created_at': 1749262945}"
3.5mm Headphone Jack,Nothing Phone,chunk-3060d71588cf955b2b239dbba0bd791d,"{'weight': 4.0, 'description': 'The Nothing Phone lacks a 3.5mm headphone jack.', 'keywords': 'audio connectivity feature absence', 'source_id': 'chunk-3060d71588cf955b2b239dbba0bd791d', 'file_path': 'unknown_source', 'created_at': 1749262945}"
AAC Bluetooth High-Quality Audio Codec,Nothing X app,chunk-8c10ba86f3c652add8c1d23db1a9625b,"{'weight': 7.0, 'description': 'The application provides information for users regarding limitations and compatibility issues when using AAC codecs with iOS devices.', 'keywords': 'compatibility advice,device technology', 'source_id': 'chunk-8c10ba86f3c652add8c1d23db1a9625b', 'file_path': 'unknown_source', 'created_at': 1749262945}"
AAC Bluetooth High-Quality Audio Codec,iOS device,chunk-8c10ba86f3c652add8c1d23db1a9625b,"{'weight': 6.0, 'description': 'Users on iOS devices are advised to utilize the AAC codec for high-quality audio streaming as an alternative to LDAC.', 'keywords': 'device and codec usage guidance', 'source_id': 'chunk-8c10ba86f3c652add8c1d23db1a9625b', 'file_path': 'unknown_source', 'created_at': 1749262945}"
AAC Bluetooth high-quality audio codec,Nothing X app,chunk-8c10ba86f3c652add8c1d23db1a9625b,"{'weight': 8.0, 'description': 'The Nothing X app guides users on the limitations of AAC codecs on iOS devices regarding high-quality audio support.', 'keywords': 'compatibility advice,feature guidance', 'source_id': 'chunk-8c10ba86f3c652add8c1d23db1a9625b', 'file_path': 'unknown_source', 'created_at': 1749262945}"
AAC Bluetooth high-quality audio codec,iOS device,chunk-8c10ba86f3c652add8c1d23db1a9625b,"{'weight': 7.0, 'description': 'iOS devices utilize the AAC Bluetooth codec for audio streaming and quality optimization.', 'keywords': 'codec usage,device technology', 'source_id': 'chunk-8c10ba86f3c652add8c1d23db1a9625b', 'file_path': 'unknown_source', 'created_at': 1749262945}"
AAC Support,CMF Buds Pro 2,chunk-242b40fbdd789fce17cd5d53222cb91d,"{'weight': 9.0, 'description': 'Supports AAC for compatibility with a wide range of devices', 'keywords': 'technical feature,universal compatibility', 'source_id': 'chunk-242b40fbdd789fce17cd5d53222cb91d', 'file_path': 'unknown_source', 'created_at': 1749262945}"
AAC and SBC,Buds,chunk-c8e8ce97e9623a3206989beb9bb64519,"{'weight': 9.0, 'description': 'The Buds support AAC and SBC audio formats for music playback.', 'keywords': 'audio compatibility,music quality', 'source_id': 'chunk-c8e8ce97e9623a3206989beb9bb64519', 'file_path': 'unknown_source', 'created_at': 1749262945}"
AC mode,Buds,chunk-c8e8ce97e9623a3206989beb9bb64519,"{'weight': 8.0, 'description': 'Supports.', 'keywords': 'audio quality,enhanced sound experience', 'source_id': 'chunk-c8e8ce97e9623a3206989beb9bb64519', 'file_path': 'unknown_source', 'created_at': 1749262945}"
AI integration,Voice Assistant,chunk-128e66067604ae44825d98ba3ed45122,"{'weight': 8.0, 'description': 'Integrates AI functionality into daily operations with voice commands and responses using the Watch Pro 2.', 'keywords': 'AI feature,voice interaction', 'source_id': 'chunk-128e66067604ae44825d98ba3ed45122', 'file_path': 'unknown_source', 'created_at': 1749262945}"
ANC (Active Noise Cancellation),organization,chunk-93607977c7e870361284500bad913d36,"{'weight': 7.0, 'description': ""The relationship represents how ANC function integrates with the product's features of Nothing Technology to enhance user experience by cancelling out ambient noise."", 'keywords': 'audio-enhancement,feature-integration', 'source_id': 'chunk-93607977c7e870361284500bad913d36', 'file_path': 'unknown_source', 'created_at': 1749262945}"
ANC ON,Noise Cancellation,chunk-026c9aac607d8ab10d1f5ae9d51556e9,"{'weight': 7.0, 'description': 'The ANC ON application enables the noise cancellation feature on earbuds when activated.', 'keywords': 'application control,technology activation', 'source_id': 'chunk-026c9aac607d8ab10d1f5ae9d51556e9', 'file_path': 'unknown_source', 'created_at': 1749262945}"
ANC and hybrid noise cancellation,Buds Pro earbuds,chunk-ecb83fc961a06d6a2e205ffa27cd9700,"{'weight': 10.0, 'description': 'The Buds Pro earbuds have active noise cancellation (ANC) feature which reduces up to 42dB of background noise.', 'keywords': 'noise reduction,sound technology', 'source_id': 'chunk-ecb83fc961a06d6a2e205ffa27cd9700', 'file_path': 'unknown_source', 'created_at': 1749262945}"
ANC mode,Buds,chunk-c8e8ce97e9623a3206989beb9bb64519,"{'weight': 8.0, 'description': 'Feature offering.', 'keywords': 'enhanced audio quality,noise reduction', 'source_id': 'chunk-c8e8ce97e9623a3206989beb9bb64519', 'file_path': 'unknown_source', 'created_at': 1749262945}"
